Date,Close,MA_50,MA_200,Daily_Return,Volatility_30
2010-01-04,17.440000534057617,,,,
2010-01-05,17.7810001373291,,,0.019552728946628406,
2010-01-06,18.163000106811523,,,0.02148360421416662,
2010-01-07,18.33300018310547,,,0.009359691421803706,
2010-01-08,18.45800018310547,,,0.006818305719278328,
2010-01-11,18.683000564575195,,,0.012189856931287046,
2010-01-12,18.24300003051757,,,-0.023550849476069113,
2010-01-13,18.538000106811523,,,0.016170590133227192,
2010-01-14,18.64299964904785,,,0.005664016702521701,
2010-01-15,18.410999298095703,,,-0.012444368144586493,
2010-01-19,18.78400039672852,,,0.020259687841680307,
2010-01-20,17.865999221801758,,,-0.04887144141493116,
2010-01-21,17.496000289916992,,,-0.020709669092185967,
2010-01-22,16.917999267578125,,,-0.033036180427590156,
2010-01-25,17.131000518798828,,,0.012590215181584874,
2010-01-26,16.84600067138672,,,-0.01663649750634022,
2010-01-27,16.42799949645996,,,-0.02481308074721511,
2010-01-28,16.20199966430664,,,-0.013756990448047013,
2010-01-29,16.183000564575195,,,-0.0011726391880688691,
2010-02-01,16.652999877929688,,,0.029042779271930996,
2010-02-02,16.736000061035156,,,0.004984097983179003,
2010-02-03,16.309999465942383,,,-0.025454146363478425,
2010-02-04,15.343000411987305,,,-0.05928872382701855,
2010-02-05,14.822999954223633,,,-0.03389170591153745,
2010-02-08,15.07800006866455,,,0.017203003118694493,
2010-02-09,15.430999755859377,,,0.023411572197060693,
2010-02-10,15.302000045776367,,,-0.008359776561724486,
2010-02-11,15.592000007629396,,,0.018951768460690577,
2010-02-12,15.449000358581545,,,-0.009171347420336096,
2010-02-16,16.149999618530273,,,0.04537505622875737,
2010-02-17,16.097999572753906,,,-0.0032198171519894903,0.3857857317299247
2010-02-18,16.059999465942383,,,-0.002360548379926608,0.3801479247143304
2010-02-19,16.413000106811523,,,0.021980115355404006,0.3804296453692823
2010-02-22,16.222000122070312,,,-0.011637115914106655,0.3793237682264858
2010-02-23,15.887999534606934,,,-0.020589359200470336,0.38097622183325947
2010-02-24,15.9399995803833,,,0.003272913349670059,0.37840801231852045
2010-02-25,16.110000610351562,,,0.01066505862255318,0.3768244398989331
