Date,Baseline_Forecast
2026-04-17,80.57139419140049
2026-04-20,80.58050823611411
2026-04-21,80.30799625981392
2026-04-22,80.33033378123451
2026-04-23,80.25847110944277
2026-04-24,80.25917496734955
2026-04-27,80.26277098640335
2026-04-28,80.28181292949989
2026-04-29,80.27768019795933
2026-04-30,80.2826711999215
2026-05-01,80.28286811294464
2026-05-04,80.282191570971
2026-05-05,80.28088367870488
2026-05-06,80.28140440574356
2026-05-07,80.28102128277736
2026-05-08,80.28097715056812
2026-05-11,80.28106939424435
2026-05-12,80.28115576576869
2026-05-13,80.28109805624088
2026-05-14,80.28113122118985
2026-05-15,80.28113729815793
2026-05-18,80.28112603041839
2026-05-19,80.28112083392443
2026-05-20,80.28112684252083
2026-05-21,80.28112364081537
2026-05-22,80.2811229641019
2026-05-25,80.28112426584632
2026-05-26,80.2811245053742
2026-05-27,80.28112390304219
2026-05-28,80.28112423621731
